text,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
"అంతర్జాతీయ రాజకీయాలలో, దేశాలు తమ ప్రయోజనాల కోసం సైనిక శక్తిని మరియు దౌత్యాన్ని రెండింటినీ వ్యూహాత్మకంగా ఉపయోగిస్తాయి",0,0,0,0,0,0
"జాతి ఆధారంగా కొన్ని వైద్య సమస్యలను నిర్లక్ష్యం చేయడం వల్ల, మైనారిటీ రోగులు సరైన సమయంలో, సరైన చికిత్స పొందలేకపోతున్నారు",0,0,0,0,1,0
వాయు కాలుష్యం ఆరోగ్యంపై తీవ్రమైన ప్రభావం చూపుతుంది,0,0,0,0,0,1
"పేదరికం కారణంగా, చాలామంది పిల్లలు తమ చదువును మధ్యలోనే ఆపివేసి, కుటుంబ పోషణ కోసం పనికి వెళ్తున్నారు",1,1,0,0,0,0
"భారతదేశంలో, బలవంతపు మత మార్పిడులను నిరోధించే పేరుతో తీసుకొచ్చిన చట్టాలు, తరచుగా మైనారిటీలను లక్ష్యంగా చేసుకుంటున్నాయని విమర్శలు ఉన్నాయి",0,0,0,0,1,1
"కార్యాలయాలలో మహిళల అభిప్రాయాలను చిన్నచూపు చూడటం, వారి ఆలోచనలకు విలువ ఇవ్వకపోవడం వంటివి సూక్ష్మమైన లింగ వివక్షకు ఉదాహరణలు",0,0,0,0,0,1
"రాజ్యసభ భారత పార్లమెంటు యొక్క ఎగువ సభ, దీని సభ్యులను పరోక్ష పద్ధతిలో ఎన్నుకుంటారు",0,0,0,0,0,0
ఎకనామీ మరియు జీడీపీ అంశాలు దేశ అభివృద్ధిని అర్థం చేసుకోవడానికి ముఖ్యమైన సూచికలుగా నిలుస్తాయి,0,0,0,0,0,0
"కొన్ని దేశాలలో, మైనారిటీల భాషలను, సంప్రదాయాలను అణచివేసి, మెజారిటీ సంస్కృతిని వారిపై బలవంతంగా రుద్దాలని చూస్తున్నారు",0,1,0,0,1,0
జంతుశాస్త్రవేత్తలు జంతువుల ఆరోగ్యం మరియు జీవన శైలిని అధ్యయనం చేస్తున్నారు,0,0,0,1,0,1
ప్రపంచ ఆరోగ్య సంస్థ - మలేరియా మరియు పోలియో వంటి వ్యాధులను నిర్మూలించడానికి ప్రపంచవ్యాప్తంగా టీకా కార్యక్రమాలను నిర్వహిస్తుంది,0,0,0,0,0,0
"సంస్థ యొక్క ఆర్థిక నివేదికలను తనిఖీ చేయడానికి, ఒక స్వతంత్ర ఆడిట్ బృందాన్ని నియమించారు",1,0,0,0,1,1
"ఫ్రాన్స్‌లో ఉపాధ్యాయుల సమ్మెలు మరియు విద్యార్థుల నిరసనలు, విద్యా విధానాలలో మార్పుల కోసం తరచుగా జరుగుతుంటాయి",0,0,0,0,0,0
"ప్రభుత్వాలు తమ వైఫల్యాలను కప్పిపుచ్చుకోవడానికి, ప్రజల భావప్రకటనా స్వేచ్ఛను అణచివేసే ప్రయత్నం చేస్తున్నాయి",0,1,0,0,0,1
"గతంలో అమెరికా ఒక వ్యక్తిని, అతను తన చేతులను ఎత్తడానికి నిరాకరించాడు. ఇప్పుడు, అతను పేలుడు పదార్థాలతో ఉన్న ఆయుధాలతో ఉన్న వ్యక్తులతో వ్యవహరించేటప్పుడు, ఈజిప్టు పోలీసుల నుండి అతను ఏమి కోరుకుంటున్నాడు?",1,1,0,0,1,1
"ప్రభుత్వాలు తమ పౌరుల ఆర్థిక లావాదేవీలను పర్యవేక్షించడానికి, నగదు రహిత సమాజం వైపు వేగంగా అడుగులు వేస్తున్నాయి",0,0,0,0,1,1
"ఒక మహిళ సాధించిన విజయాన్ని ఆమె ప్రతిభగా కాకుండా, ఇతర మార్గాల ద్వారా పొందిందని అనుమానించే నీచమైన మనస్తత్వం చాలామందిలో కనిపిస్తుంది",1,1,0,0,0,1
ఈ దుస్తుల డిజైన్ చాలా ఆకర్షణీయంగా ఉంది,0,1,0,1,0,0
